arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
arm;10;2024-05-12 15:02:24;1101196;2900908;659784;16.73;65512;1957236;3560212;90.27;570348;1811756;4284;524372;160240;7776;15300;31796
arm;10;2024-05-12 15:02:34;1020620;2867616;692868;17.57;66804;2001924;3561176;90.29;572080;1863364;4396;531700;161752;7824;15408;31828
arm;10;2024-05-12 15:02:44;838204;2837960;722040;18.31;66832;2150460;3561176;90.29;572120;2012028;58456;531796;166432;7792;15412;31828
arm;12;2024-05-12 15:02:56;874296;2874052;685956;17.39;66836;2150456;3561236;90.30;572120;2003804;26160;529632;166424;7792;15416;31828
arm;10;2024-05-12 15:03:06;848296;2882788;677100;17.17;67472;2183680;3550696;90.03;576056;2033512;1944;541596;167420;7848;15244;31860
arm;10;2024-05-12 15:03:16;818424;2868912;690952;17.52;69404;2197228;3549736;90.00;581064;2044048;2092;549620;167960;7808;15244;31844
arm;10;2024-05-12 15:03:26;733772;2867144;691648;17.54;69632;2276668;3561332;90.30;581288;2129412;2452;568804;172248;7808;15364;31860
arm;10;2024-05-12 15:03:36;701580;2874496;684908;17.37;69784;2314420;3561392;90.30;581448;2163424;428;524616;173276;7792;15408;31844
arm;10;2024-05-12 15:03:46;640408;2871856;687324;17.43;70004;2370272;3561328;90.30;581656;2219216;1564;524572;175960;7792;15412;31828
arm;10;2024-05-12 15:03:56;573412;2873304;685616;17.38;70264;2435628;3561328;90.30;581916;2284572;1128;524592;179048;7792;15408;31844
arm;10;2024-05-12 15:04:06;503276;2866312;692392;17.56;70300;2496468;3561344;90.30;581964;2345080;96;524656;181532;7792;15408;31844
arm;13;2024-05-12 15:04:19;377520;2850060;708248;17.96;70312;2602728;3561264;90.30;581972;2451308;184;524556;185160;7808;15420;31828
arm;10;2024-05-12 15:04:29;207276;2820620;737256;18.69;70400;2739328;3561276;90.30;582060;2587720;420;524436;189708;7792;15416;31828
arm;10;2024-05-12 15:04:39;224776;2858072;699808;17.74;70412;2758632;3561276;90.30;582076;2607212;480;524608;190340;7792;15436;31828
arm;10;2024-05-12 15:04:49;121740;2842408;715172;18.13;70460;2843344;3561276;90.30;582116;2691812;11920;524504;193252;7792;15364;31844
arm;10;2024-05-12 15:04:59;62516;2846484;710948;18.03;70512;2904520;3561276;90.30;582176;2753128;476;524596;195472;7776;15412;31844
arm;10;2024-05-12 15:05:09;78688;2917120;640036;16.23;70564;2959764;3561260;90.30;584276;2806344;688;524604;194916;7776;15412;31796
arm;12;2024-05-12 15:05:21;46192;2913600;643252;16.31;70596;2987272;3561248;90.30;585540;2832436;8;524504;196656;7744;15388;31780
arm;10;2024-05-12 15:05:31;32432;2913592;643292;16.31;66800;3003248;3561248;90.30;573548;2856704;124;524508;198196;7728;15364;31780
arm;10;2024-05-12 15:05:41;37016;2917976;638836;16.20;65776;3003144;3561248;90.30;568664;2860520;1364;524636;199196;7744;15416;31796
arm;10;2024-05-12 15:05:51;54676;2924240;632312;16.03;65340;2990384;3549720;90.00;563408;2843524;0;515724;201256;7728;15364;31748
arm;12;2024-05-12 15:06:03;30184;2904820;651868;16.53;67928;2991140;3561680;90.31;565048;2860220;476;524796;202848;7744;15372;31748
arm;10;2024-05-12 15:06:13;32244;2906416;650188;16.49;67816;2990548;3561680;90.31;562668;2861860;16684;524760;203172;7744;15424;31780
arm;14;2024-05-12 15:06:27;44528;2903224;653440;16.57;67728;2974832;3598552;91.24;534900;2886772;14484;544272;203440;7904;15584;31900
arm;10;2024-05-12 15:06:37;35576;2896680;659996;16.73;67740;2977304;3597044;91.20;534224;2888620;30772;542812;203352;7888;15576;31884
arm;10;2024-05-12 15:06:47;43980;2893496;663108;16.81;67772;2966184;3598964;91.25;530848;2882172;660;537552;202924;7888;15612;31900
arm;17;2024-05-12 15:07:05;38292;2889536;667280;16.92;69816;2965604;3643544;92.38;534340;2878040;2284;533936;202976;7888;15476;31916
